atletas.rodada_id,atletas.slug,atletas.clube.id.full.name,atletas.atleta_id,atletas.media_num,atletas.posicao_id,atletas.pontos_num,atletas.variacao_num,atletas.clube_id,atletas.apelido,atletas.nome,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.entrou_em_campo
1,michel-araujo,BAH,107173,0,4,0,0,265,Michel Araújo,Michel Daryl Araújo Villar,6,6,M. Araújo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,False
1,bruno-tabata,INT,107174,0,4,0,0,285,Bruno Tabata,Bruno Vinícius Souza Ramos,5,7,B. Tabata,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,False
1,matheus-donelli,COR,107179,0,1,0,0,264,Matheus Donelli,Matheus Planelles Donelli,3,6,M. Donelli,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,0,False
1,leo-linck,BOT,107183,0,1,0,0,263,Léo Linck,Leonardo Matias Baiersdorf Linck,6,7,L. Linck,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,0,False
1,danilo,BOT,107231,0,4,0,0,263,Danilo,Danilo dos Santos de Oliveira,10,7,Danilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,0,False
1,vanderlan,RBB,107236,0,2,0,0,280,Vanderlan,Vanderlan Barbosa da Silva,5,5,Vanderlan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,joao-paulo,CHA,107453,0,3,0,0,315,João Paulo,João Paulo Silveira dos Santos,3,7,J. Paulo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,False
1,enio,CHA,107516,0,5,0,0,315,Ênio,Sebastião Ênio Santos de Almeida,4,6,Ênio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,False
1,natanael,CAM,107554,0,2,0,0,282,Natanael,Natanael Moreira Milouski,7,6,Natanael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,False
1,eduardo-melo,REM,107700,0,5,0,0,364,Eduardo Melo,Eduardo de Queiroz Melo,2,6,E. Melo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,False
1,praxedes,RBB,107744,0,4,0,0,280,Praxedes,Bruno Conceição Praxedes,4,6,Praxedes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,fintelman,VIT,107859,0,1,0,0,287,Fintelman,Alexandre Fintelman de Mello Ribeiro da Silva,2,5,Fintelman,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,False
1,bobadilla,SAO,107873,0,4,0,0,276,Bobadilla,Damián Josué Bobadilla Benítez,10,7,Bobadilla,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,False
1,hugo,COR,107908,0,2,0,0,264,Hugo,Hugo Ferreira de Farias,4,6,Hugo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,0,False
1,teran,CAP,107985,0,3,0,0,293,Terán,Carlos Terán Díaz,4,7,Terán,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,False
1,carbonero,INT,107989,0,5,0,0,285,Carbonero,Johan Stiven Carbonero Balanta,9,6,Carbonero,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,False
